date,z,c,d
2020-04-19,4119152,18,1
2020-04-19,4125506,18,0
2020-04-19,4127700,1,0
2020-04-18,4104808,63,3
2020-04-18,4106902,346,9
2020-04-18,4113700,90,6
2020-04-18,4115200,40,5
2020-04-18,4118204,11,2
2020-04-18,4119152,17,1
2020-04-18,4125506,18,0
2020-04-18,4127700,1,0
2020-04-17,4104808,61,2
2020-04-17,4106902,335,8
2020-04-17,4113700,78,5
2020-04-17,4115200,40,5
2020-04-17,4118204,10,2
2020-04-17,4119152,16,1
2020-04-17,4125506,18,0
2020-04-17,4127700,1,0
2020-04-16,4104808,59,2
2020-04-16,4106902,320,8
2020-04-16,4113700,74,4
2020-04-16,4115200,32,5
2020-04-16,4118204,10,2
2020-04-16,4119152,13,1
2020-04-16,4125506,17,0
2020-04-16,4127700,1,0
2020-04-15,4104808,60,2
2020-04-15,4106902,306,8
2020-04-15,4113700,74,4
2020-04-15,4115200,31,5
2020-04-15,4118204,8,2
2020-04-15,4119152,13,1
2020-04-15,4125506,16,0
2020-04-15,4127700,1,0
2020-04-14,4104808,60,2
2020-04-14,4106902,302,7
2020-04-14,4113700,75,4
2020-04-14,4115200,30,5
2020-04-14,4118204,8,2
2020-04-14,4119152,13,1
2020-04-14,4125506,15,0
2020-04-14,4127700,1,0
2020-04-13,4104808,60,2
2020-04-13,4106902,299,6
2020-04-13,4113700,72,4
2020-04-13,4115200,29,5
2020-04-13,4118204,6,2
2020-04-13,4119152,13,0
2020-04-13,4125506,15,0
2020-04-13,4127700,1,0
2020-04-12,4104808,60,2
2020-04-12,4106902,302,6
2020-04-12,4113700,69,4
2020-04-12,4115200,28,4
2020-04-12,4118204,6,2
2020-04-12,4119152,13,0
2020-04-12,4125506,13,0
2020-04-12,4127700,1,0
2020-04-11,4104808,58,2
2020-04-11,4106902,279,5
2020-04-11,4113700,62,3
2020-04-11,4115200,27,4
2020-04-11,4118204,5,2
2020-04-11,4119152,13,0
2020-04-11,4125506,11,0
2020-04-11,4127700,1,0
2020-04-10,4104808,57,1
2020-04-10,4106902,251,5
2020-04-10,4113700,61,3
2020-04-10,4115200,27,4
2020-04-10,4118204,5,2
2020-04-10,4119152,12,0
2020-04-10,4125506,11,0
2020-04-10,4127700,1,0
2020-04-09,4104808,53,1
2020-04-09,4106902,237,5
2020-04-09,4113700,61,2
2020-04-09,4115200,27,4
2020-04-09,4118204,5,2
2020-04-09,4119152,12,0
2020-04-09,4125506,11,0
2020-04-09,4127700,1,0
2020-04-08,4104808,42,1
2020-04-08,4106902,205,3
2020-04-08,4113700,59,2
2020-04-08,4115200,25,2
2020-04-08,4118204,6,1
2020-04-08,4119152,9,0
2020-04-08,4125506,9,0
2020-04-08,4127700,1,0
2020-04-07,4104808,41,1
2020-04-07,4106902,194,3
2020-04-07,4113700,54,2
2020-04-07,4115200,23,2
2020-04-07,4118204,5,0
2020-04-07,4119152,8,0
2020-04-07,4125506,9,0
2020-04-07,4127700,0,0
2020-04-06,4104808,36,1
2020-04-06,4106902,175,3
2020-04-06,4113700,47,1
2020-04-06,4115200,23,2
2020-04-06,4118204,5,0
2020-04-06,4119152,7,0
2020-04-06,4125506,7,0
2020-04-06,4127700,0,0
2020-04-05,4104808,35,1
2020-04-05,4106902,172,0
2020-04-05,4113700,38,1
2020-04-05,4115200,21,2
2020-04-05,4118204,5,0
2020-04-05,4119152,7,0
2020-04-05,4125506,7,0
2020-04-05,4127700,0,0
2020-04-04,4104808,29,1
2020-04-04,4106902,153,0
2020-04-04,4113700,37,1
2020-04-04,4115200,19,2
2020-04-04,4118204,4,0
2020-04-04,4119152,6,0
2020-04-04,4125506,7,0
2020-04-04,4127700,0,0
2020-04-03,4104808,15,1
2020-04-03,4106902,114,0
2020-04-03,4113700,30,1
2020-04-03,4115200,15,2
2020-04-03,4118204,2,0
2020-04-03,4119152,6,0
2020-04-03,4125506,6,0
2020-04-03,4127700,0,0
2020-04-02,4104808,13,1
2020-04-02,4106902,99,0
2020-04-02,4113700,27,0
2020-04-02,4115200,13,2
2020-04-02,4118204,1,0
2020-04-02,4119152,5,0
2020-04-02,4125506,4,0
2020-04-02,4127700,0,0
2020-04-01,4104808,10,1
2020-04-01,4106902,97,0
2020-04-01,4113700,26,0
2020-04-01,4115200,10,2
2020-04-01,4118204,0,0
2020-04-01,4119152,5,0
2020-04-01,4125506,4,0
2020-04-01,4127700,0,0
2020-03-31,4104808,10,1
2020-03-31,4106902,87,0
2020-03-31,4113700,9,0
2020-03-31,4115200,9,2
2020-03-31,4118204,0,0
2020-03-31,4119152,4,0
2020-03-31,4125506,3,0
2020-03-31,4127700,0,0
2020-03-30,4104808,8,1
2020-03-30,4106902,77,0
2020-03-30,4113700,7,0
2020-03-30,4115200,8,2
2020-03-30,4118204,0,0
2020-03-30,4119152,3,0
2020-03-30,4125506,1,0
2020-03-30,4127700,0,0
2020-03-29,4104808,8,0
2020-03-29,4106902,73,0
2020-03-29,4113700,7,0
2020-03-29,4115200,8,2
2020-03-29,4118204,0,0
2020-03-29,4119152,3,0
2020-03-29,4125506,1,0
2020-03-29,4127700,0,0
2020-03-28,4104808,7,0
2020-03-28,4106902,74,0
2020-03-28,4113700,5,0
2020-03-28,4115200,7,2
2020-03-28,4118204,0,0
2020-03-28,4119152,3,0
2020-03-28,4125506,0,0
2020-03-28,4127700,0,0
2020-03-27,4104808,5,0
2020-03-27,4106902,71,0
2020-03-27,4113700,3,0
2020-03-27,4115200,7,2
2020-03-27,4118204,0,0
2020-03-27,4119152,3,0
2020-03-27,4125506,0,0
2020-03-27,4127700,0,0
2020-03-26,4104808,2,0
2020-03-26,4106902,66,0
2020-03-26,4113700,3,0
2020-03-26,4115200,3,0
2020-03-26,4118204,0,0
2020-03-26,4119152,3,0
2020-03-26,4125506,0,0
2020-03-26,4127700,0,0
2020-03-25,4104808,2,0
2020-03-25,4106902,60,0
2020-03-25,4113700,3,0
2020-03-25,4115200,2,0
2020-03-25,4118204,0,0
2020-03-25,4119152,3,0
2020-03-25,4125506,0,0
2020-03-25,4127700,0,0
2020-03-24,4104808,2,0
2020-03-24,4106902,40,0
2020-03-24,4113700,3,0
2020-03-24,4115200,1,0
2020-03-24,4118204,0,0
2020-03-24,4119152,2,0
2020-03-24,4125506,0,0
2020-03-24,4127700,0,0
2020-03-23,4104808,1,0
2020-03-23,4106902,34,0
2020-03-23,4113700,3,0
2020-03-23,4115200,1,0
2020-03-23,4118204,0,0
2020-03-23,4119152,2,0
2020-03-23,4125506,0,0
2020-03-23,4127700,0,0
2020-03-22,4104808,0,0
2020-03-22,4106902,31,0
2020-03-22,4113700,3,0
2020-03-22,4115200,1,0
2020-03-22,4118204,0,0
2020-03-22,4119152,2,0
2020-03-22,4125506,0,0
2020-03-22,4127700,0,0
2020-03-21,4104808,0,0
2020-03-21,4106902,31,0
2020-03-21,4113700,3,0
2020-03-21,4115200,1,0
2020-03-21,4118204,0,0
2020-03-21,4119152,1,0
2020-03-21,4125506,0,0
2020-03-21,4127700,0,0
2020-03-20,4104808,0,0
2020-03-20,4106902,27,0
2020-03-20,4113700,3,0
2020-03-20,4115200,1,0
2020-03-20,4118204,0,0
2020-03-20,4119152,1,0
2020-03-20,4125506,0,0
2020-03-20,4127700,0,0
2020-03-19,4104808,0,0
2020-03-19,4106902,17,0
2020-03-19,4113700,1,0
2020-03-19,4115200,1,0
2020-03-19,4118204,0,0
2020-03-19,4119152,1,0
2020-03-19,4125506,0,0
2020-03-19,4127700,0,0
2020-03-18,4104808,0,0
2020-03-18,4106902,8,0
2020-03-18,4113700,1,0
2020-03-18,4115200,1,0
2020-03-18,4118204,0,0
2020-03-18,4119152,1,0
2020-03-18,4125506,0,0
2020-03-18,4127700,0,0
2020-03-17,4104808,0,0
2020-03-17,4106902,7,0
2020-03-17,4113700,1,0
2020-03-17,4115200,0,0
2020-03-17,4118204,0,0
2020-03-17,4119152,1,0
2020-03-17,4125506,0,0
2020-03-17,4127700,0,0
2020-03-16,4104808,0,0
2020-03-16,4106902,5,0
2020-03-16,4113700,0,0
2020-03-16,4115200,0,0
2020-03-16,4118204,0,0
2020-03-16,4119152,0,0
2020-03-16,4125506,0,0
2020-03-16,4127700,0,0
2020-03-15,4104808,0,0
2020-03-15,4106902,5,0
2020-03-15,4113700,0,0
2020-03-15,4115200,0,0
2020-03-15,4118204,0,0
