date,z,c,d
2020-09-24,4123501,397,9
2020-09-24,4123600,32,0
2020-09-24,4123709,64,3
2020-09-24,4123808,42,2
2020-09-24,4123824,29,0
2020-09-24,4123857,13,1
2020-09-24,4123907,188,13
2020-09-24,4123956,9,1
2020-09-24,4124004,29,2
2020-09-24,4124020,131,4
2020-09-24,4124053,384,7
2020-09-24,4124103,325,7
2020-09-24,4124202,24,1
2020-09-24,4124301,15,0
2020-09-24,4124400,101,1
2020-09-24,4124509,169,2
2020-09-24,4124608,19,0
2020-09-24,4124707,39,1
2020-09-24,4124806,124,2
2020-09-24,4124905,50,1
2020-09-24,4125001,160,4
2020-09-24,4125100,13,0
2020-09-24,4125209,175,1
2020-09-24,4125308,44,2
2020-09-24,4125357,43,0
2020-09-24,4125407,86,5
2020-09-24,4125456,38,2
2020-09-24,4125506,3515,150
2020-09-24,4125555,29,1
2020-09-24,4125605,246,6
2020-09-24,4125704,499,4
2020-09-24,4125753,79,0
2020-09-24,4125803,149,7
2020-09-24,4125902,9,0
2020-09-24,4126009,120,6
2020-09-24,4126108,80,1
2020-09-24,4126207,40,3
2020-09-24,4126256,1050,13
2020-09-24,4126272,65,1
2020-09-24,4126306,142,5
2020-09-24,4126355,124,0
2020-09-24,4126405,35,1
2020-09-24,4126504,240,4
2020-09-24,4126603,106,8
2020-09-24,4126652,62,0
2020-09-24,4126678,197,7
2020-09-24,4126702,46,1
2020-09-24,4126801,199,5
2020-09-24,4126900,26,0
2020-09-24,4127007,30,1
2020-09-24,4127106,2047,50
2020-09-24,4127205,175,7
2020-09-24,4127304,47,2
2020-09-24,4127403,90,0
2020-09-24,4127502,227,11
2020-09-24,4127601,257,6
2020-09-24,4127700,3122,53
2020-09-24,4127809,50,0
2020-09-24,4127858,112,6
2020-09-24,4127882,88,0
2020-09-24,4127908,111,0
2020-09-24,4127957,101,2
2020-09-24,4127965,14,0
2020-09-24,4128005,109,1
2020-09-24,4128104,942,14
2020-09-24,4128203,300,6
2020-09-24,4128302,17,1
2020-09-24,4128401,100,2
2020-09-24,4128500,142,5
2020-09-24,4128534,53,2
2020-09-24,4128559,193,1
2020-09-24,4128609,43,4
2020-09-24,4128625,5,0
2020-09-24,4128633,52,0
2020-09-24,4128658,36,1
2020-09-24,4128708,73,0
2020-09-24,4128807,35,1
2020-09-17,4100103,66,0
2020-09-17,4100202,173,4
2020-09-17,4100301,76,0
2020-09-17,4100400,1531,48
2020-09-17,4100459,11,0
2020-09-17,4100509,177,2
2020-09-17,4100608,79,1
2020-09-17,4100707,113,4
2020-09-17,4100806,55,4
2020-09-17,4100905,25,0
2020-09-17,4101002,94,3
2020-09-17,4101051,28,0
2020-09-17,4101101,231,3
2020-09-17,4101150,46,1
2020-09-17,4101200,346,7
2020-09-17,4101309,72,1
2020-09-17,4101408,760,32
2020-09-17,4101507,2483,87
2020-09-17,4101606,216,1
2020-09-17,4101655,34,1
2020-09-17,4101705,176,7
2020-09-17,4101804,3623,53
2020-09-17,4101853,18,1
2020-09-17,4101903,257,11
2020-09-17,4102000,452,6
2020-09-17,4102109,380,7
2020-09-17,4102208,83,1
2020-09-17,4102307,209,5
2020-09-17,4102406,698,17
2020-09-17,4102505,151,4
2020-09-17,4102604,78,2
2020-09-17,4102703,15,0
2020-09-17,4102752,18,0
2020-09-17,4102802,153,4
2020-09-17,4102901,41,1
2020-09-17,4103008,33,0
2020-09-17,4103024,37,0
2020-09-17,4103040,3,0
2020-09-17,4103057,128,3
2020-09-17,4103107,201,2
2020-09-17,4103156,14,1
2020-09-17,4103206,101,1
2020-09-17,4103222,8,0
2020-09-17,4103305,56,0
2020-09-17,4103354,54,2
2020-09-17,4103370,32,0
2020-09-17,4103404,51,0
2020-09-17,4103453,214,1
2020-09-17,4103479,27,0
2020-09-17,4103503,78,2
2020-09-17,4103602,173,4
2020-09-17,4103701,1570,26
2020-09-17,4103800,74,2
2020-09-17,4103909,30,2
2020-09-17,4103958,5,1
2020-09-17,4104006,898,21
2020-09-17,4104055,51,0
2020-09-17,4104105,69,3
2020-09-17,4104204,2796,66
2020-09-17,4104253,488,9
2020-09-17,4104303,949,37
2020-09-17,4104402,45,0
2020-09-17,4104428,74,0
2020-09-17,4104451,64,1
2020-09-17,4104501,510,3
2020-09-17,4104600,173,0
2020-09-17,4104659,282,5
2020-09-17,4104709,84,1
2020-09-17,4104808,7083,130
2020-09-17,4104907,878,11
2020-09-17,4105003,72,0
2020-09-17,4105102,146,3
2020-09-17,4105201,152,9
2020-09-17,4105300,180,0
2020-09-17,4105409,96,2
2020-09-17,4105508,895,14
2020-09-17,4105607,256,1
2020-09-17,4105706,253,11
2020-09-17,4105805,3221,124
2020-09-17,4105904,305,7
2020-09-17,4106001,23,3
2020-09-17,4106100,55,1
2020-09-17,4106209,163,2
2020-09-17,4106308,294,6
2020-09-17,4106407,455,19
2020-09-17,4106456,221,0
2020-09-17,4106506,121,2
2020-09-17,4106555,61,1
2020-09-17,4106571,97,3
2020-09-17,4106605,120,0
2020-09-17,4106704,28,1
2020-09-17,4106803,39,1
2020-09-17,4106852,43,1
2020-09-17,4106902,34491,1171
2020-09-17,4107009,163,7
2020-09-17,4107108,41,0
2020-09-17,4107124,34,1
2020-09-17,4107157,136,1
2020-09-17,4107207,1212,17
2020-09-17,4107256,36,1
2020-09-17,4107306,28,2
2020-09-17,4107405,132,5
2020-09-17,4107504,178,1
2020-09-17,4107520,10,0
2020-09-17,4107538,8,0
2020-09-17,4107546,22,0
2020-09-17,4107553,6,1
2020-09-17,4107603,180,2
2020-09-17,4107652,2101,65
2020-09-17,4107702,59,0
2020-09-17,4107736,30,1
2020-09-17,4107751,39,1
2020-09-17,4107801,36,3
2020-09-17,4107850,4,0
2020-09-17,4107900,119,2
2020-09-17,4108007,305,6
2020-09-17,4108106,42,0
2020-09-17,4108205,37,3
2020-09-17,4108304,5352,80
2020-09-17,4108320,137,1
2020-09-17,4108403,1172,20
2020-09-17,4108452,113,4
2020-09-17,4108502,58,3
2020-09-17,4108551,3,0
2020-09-17,4108601,112,11
2020-09-17,4108650,18,1
2020-09-17,4108700,55,1
2020-09-17,4108809,228,3
2020-09-17,4108908,62,1
2020-09-17,4108957,21,0
2020-09-17,4109005,56,2
2020-09-17,4109104,26,1
2020-09-17,4109203,92,3
2020-09-17,4109302,136,2
2020-09-17,4109401,603,8
2020-09-17,4109500,40,3
2020-09-17,4109609,619,16
2020-09-17,4109658,21,0
2020-09-17,4109708,290,10
2020-09-17,4109757,69,3
2020-09-17,4109807,1000,12
2020-09-17,4109906,33,1
2020-09-17,4110003,32,0
2020-09-17,4110052,8,0
2020-09-17,4110078,321,4
2020-09-17,4110102,272,9
2020-09-17,4110201,25,0
2020-09-17,4110300,60,1
2020-09-17,4110409,119,0
2020-09-17,4110508,59,2
2020-09-17,4110607,37,1
2020-09-17,4110656,46,1
2020-09-17,4110706,297,9
2020-09-17,4110805,101,4
2020-09-17,4110904,40,2
2020-09-17,4110953,205,2
2020-09-17,4111001,48,2
2020-09-17,4111100,245,10
2020-09-17,4111209,64,1
2020-09-17,4111258,943,19
2020-09-17,4111308,14,0
2020-09-17,4111407,20,0
2020-09-17,4111506,573,14
2020-09-17,4111555,11,0
2020-09-17,4111605,18,1
2020-09-17,4111704,30,0
2020-09-17,4111803,319,3
2020-09-17,4111902,411,8
2020-09-17,4112009,213,6
2020-09-17,4112108,428,7
2020-09-17,4112207,50,6
2020-09-17,4112306,48,0
2020-09-17,4112405,108,0
2020-09-17,4112504,82,5
2020-09-17,4112603,6,0
2020-09-17,4112702,413,5
2020-09-17,4112751,157,6
2020-09-17,4112801,123,1
2020-09-17,4112900,39,0
2020-09-17,4112959,50,1
2020-09-17,4113007,93,2
2020-09-17,4113106,39,0
2020-09-17,4113205,809,10
2020-09-17,4113254,0,0
2020-09-17,4113304,256,1
2020-09-17,4113403,36,1
2020-09-17,4113429,24,1
2020-09-17,4113452,21,0
2020-09-17,4113502,108,2
2020-09-17,4113601,32,0
2020-09-17,4113700,8826,217
2020-09-17,4113734,28,1
